tempo,rms_mean,spectral_centroid_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,instrument_label,start_sec,duration_sec
77.13386194,0.456248254,1416.307562,-154.171051,170.2462311,-49.60609818,31.29486847,-9.677833557,-0.059688613,9.290064812,-24.50691032,-10.45310593,-13.92355251,-2.776893616,-13.04216194,-16.52533722,0.211301357,-14.26369953,-4.051731586,1.758075595,3.69478941,18.21176529,18.14221573,0.057469413,0.033926856,0.052302331,0.142644584,0.214633599,0.114625722,0.05500114,0.109484248,0.4233329,0.602724731,0.296120018,0.155803204,Harmonium,0,3
120.1853198,0.377554476,1300.75595,-135.105545,205.4849854,-42.49993896,22.60007668,-12.56257629,2.742093325,11.10509586,-21.17385101,-3.485909462,-8.575798035,-0.264550745,-10.12904644,-17.67674637,0.206608251,-7.798233986,-0.909448087,-0.105916023,-2.767923117,8.728522301,9.508152008,0.120328531,0.227928877,0.166300923,0.203470886,0.236263007,0.264775246,0.375069827,0.234733045,0.292667359,0.331596941,0.244975835,0.161065266,Harmonium,0,3
92.28515625,0.413920462,1538.77285,-123.5124741,199.8651428,-56.62142563,26.96874809,-10.57678509,8.360144615,0.35073027,-32.85660934,-2.365828514,-11.82333088,-1.877458572,-6.636186123,-6.481199265,4.262133598,-4.594577789,17.07854652,13.14119911,6.90097332,5.278979301,-11.11985683,0.658250749,0.602198184,0.181268767,0.145483702,0.107466415,0.084845081,0.044126026,0.097092308,0.113726906,0.040363375,0.067653842,0.249047652,Harmonium,0,3
55.56955645,0.373258859,1352.482302,-139.1329346,200.7203979,-51.60761642,19.10373306,-5.715587616,8.750452042,9.289845467,-21.87026787,-6.657125473,-12.29151917,-0.238424882,-10.2139473,-12.73750973,2.650865555,-9.502368927,0.466344416,0.460129678,0.622217119,10.84563065,7.421259403,0.205848113,0.201391831,0.097305909,0.159661144,0.310484827,0.217921749,0.074499473,0.145880625,0.486214995,0.478143156,0.200368464,0.200509474,Harmonium,0,3
191.40625,0.462556899,1459.804934,-122.1038132,196.1446381,-56.55630875,18.38683891,-11.78544617,4.098780632,2.53639698,-28.37026596,-6.829871178,-10.41586208,-0.559067428,-10.76473331,-11.74214458,0.126020625,-3.188206434,10.76528549,-0.990457058,5.472916603,15.20296478,1.567585468,0.205468819,0.054945309,0.084114984,0.258286715,0.09240035,0.027834237,0.034767453,0.066160798,0.201332018,0.254284322,0.275503218,0.469193667,Harmonium,0,3
70.79409247,0.449869633,1386.355026,-129.9248199,195.9483337,-53.13694763,20.5761013,-16.07999802,1.753346801,8.720345497,-24.76325035,-10.5667963,-11.36394882,0.7710796,-18.40410423,-17.13510513,2.385817051,-14.4268198,-0.71616745,-0.86360389,-1.092743039,15.08484745,15.57566166,0.029532151,0.031711288,0.01968872,0.052875452,0.06017375,0.044083036,0.037222799,0.174883112,0.678100169,0.694565892,0.245735765,0.039678071,Harmonium,0,3
215.3320313,0.368400007,1641.33068,-123.7254868,190.6992493,-50.8127327,19.79574776,-21.25532341,10.37672329,-1.576616406,-35.99845505,-0.59745121,-6.127424717,7.369063377,-3.867269516,-1.365607262,11.1587162,-4.244902611,10.94313812,-9.846104622,-11.7283268,5.981292725,-9.035716057,0.09767963,0.094306462,0.121014647,0.40349552,0.594463825,0.204781607,0.12281701,0.060627759,0.117425658,0.056023259,0.114914179,0.20636791,Harmonium,0,3
90.66611842,0.437630653,1474.83801,-115.6501999,195.5818939,-58.66273499,26.0161438,-14.55921745,2.871768713,9.426883698,-23.63796616,-5.619638443,-9.706731796,2.812241316,-15.21280193,-19.3222084,-1.254868269,-13.18329239,0.184533074,-2.996679068,-1.543285966,12.94175816,10.57242584,0.068723671,0.041837968,0.057612922,0.147708461,0.218455017,0.12587285,0.061879884,0.113023572,0.429724336,0.605743766,0.302011251,0.16261062,Harmonium,0,3
77.13386194,0.36327365,1522.873188,-143.2576904,197.8746643,-57.35316849,15.83890152,-10.93927002,9.426205635,-2.574518442,-33.26875305,-5.012039661,-10.80825043,0.542313993,-10.23929596,-5.461699009,7.02462244,-5.199595928,19.30836678,8.968902588,0.793132186,5.056473732,-15.12452316,0.422415078,0.813369572,0.280845731,0.148305133,0.12434984,0.159192666,0.075872935,0.0982311,0.261175632,0.145598322,0.100428499,0.116679236,Harmonium,0,3
156.6051136,0.386221558,1492.265737,-129.068985,201.322403,-59.64213943,16.73152733,-4.853104115,12.69276524,0.797107816,-30.68383217,-6.990138054,-13.05132389,2.224957466,-3.619427919,-5.923378944,3.394622326,-2.628195524,14.67706299,7.089151859,6.442678928,9.137942314,-5.492426395,0.644374847,0.648980081,0.160098255,0.059078149,0.079647154,0.119304128,0.085133068,0.11639639,0.21773605,0.192759082,0.114011981,0.22147724,Harmonium,0,3
